collision_id,crash_datetime,borough,zip_code,latitude,longitude,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_two-wheel_veh,number_of_normal_veh,number_of_large_veh,number_of_unknown_veh,total_number_of_vehicles,contributing_factors
3654181,2017-04-18 23:10:00,STATEN ISLAND,10312,40.536728,-74.193344,,,243       DARLINGTON AVENUE,0,0,0,0,0,0,0,0,0,0,0,1,1,['Driver Inattention/Distraction' 'Unspecified']
3665311,2017-05-06 13:00:00,BRONX,10472,40.829052,-73.85038,CASTLE HILL AVENUE,BLACKROCK AVENUE,,1,0,1,0,0,0,0,0,0,1,0,0,1,['Failure to Yield Right-of-Way']
3658491,2017-04-27 17:15:00,QUEENS,11420,40.677303,-73.804565,135 STREET,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
3666554,2017-05-09 20:10:00,,,40.624958,-74.145775,FOREST AVENUE,RICHMOND AVENUE,,1,0,0,0,0,0,1,0,1,1,1,0,3,['Unspecified']
3653269,2017-04-18 14:00:00,BRONX,10456,40.828846,-73.90312,,,1167      BOSTON ROAD,0,0,0,0,0,0,0,0,0,1,0,1,2,['Driver Inattention/Distraction' 'Unspecified']
3666365,2017-05-08 10:33:00,,,40.556454,-74.20777,WEST SHORE EXPRESSWAY,,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unsafe Lane Changing' 'Unspecified']
3666842,2017-05-10 06:10:00,,,40.740025,-73.97626,1 AVENUE,EAST 28 STREET,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Passing or Lane Usage Improper' 'Unspecified']
3657123,2017-04-24 09:30:00,BROOKLYN,11203,40.651646,-73.93233,EAST 48 STREET,CHURCH AVENUE,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Other Vehicular']
3651039,2017-04-14 13:00:00,,,40.7518,-73.817314,ROBINSON STREET,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Passing Too Closely' 'Unspecified']
3661896,2017-05-02 01:00:00,BRONX,10474,40.816864,-73.882744,,,772       EDGEWATER ROAD,0,0,0,0,0,0,0,0,0,0,1,0,1,['Unspecified']
3661330,2017-05-01 14:30:00,STATEN ISLAND,10301,40.639614,-74.08727,,,361       JERSEY STREET,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unspecified']
3659418,2017-04-29 08:45:00,,,40.71423,-73.85386,LOUBET STREET,,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3661943,2017-05-01 10:30:00,BROOKLYN,11223,40.602757,-73.96377,,,802       AVENUE S,0,0,0,0,0,0,0,0,0,0,0,2,2,['Unspecified']
3654121,2017-04-16 15:50:00,BROOKLYN,11203,40.652973,-73.94401,BROOKLYN AVENUE,LINDEN BOULEVARD,,3,0,0,0,0,0,3,0,0,1,0,1,2,['Unspecified']
3673696,2017-04-25 18:00:00,BROOKLYN,11234,40.61074,-73.92241,,,2074      EAST 52 STREET,0,0,0,0,0,0,0,0,0,0,0,1,1,['Driver Inattention/Distraction' 'Unspecified']
3655451,2017-04-22 07:00:00,,,40.69168,-73.999344,BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,0,0,1,0,1,['Unspecified']
3654545,2017-04-20 18:00:00,BRONX,10463,40.886536,-73.89985,WEST 240 STREET,BROADWAY,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3665559,2017-05-06 14:10:00,QUEENS,11419,40.686234,-73.82418,LEFFERTS BOULEVARD,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Backing Unsafely' 'Unspecified']
3662987,2017-04-28 22:14:00,,,40.859875,-73.89323,WEBSTER AVENUE,,,3,0,0,0,0,0,3,0,0,0,0,2,2,['Unspecified']
3663956,2017-05-05 16:30:00,BRONX,10453,40.848255,-73.90976,WALTON AVENUE,EAST 176 STREET,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unspecified']
3654848,2017-04-19 22:13:00,,,40.835358,-73.94022,AMSTERDAM AVENUE,,,1,0,1,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3658471,2017-04-27 15:56:00,,,40.727753,-73.85861,SAUNDERS STREET,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Backing Unsafely' 'Other Vehicular']
3662226,2017-05-02 22:30:00,QUEENS,11434,40.666702,-73.76731,,,177-90    SOUTH CONDUIT AVENUE,0,0,0,0,0,0,0,0,0,0,0,2,2,['Failure to Yield Right-of-Way' 'Unspecified']
3666278,2017-05-08 23:30:00,BROOKLYN,11207,40.66322,-73.893654,PENNSYLVANIA AVENUE,RIVERDALE AVENUE,,8,0,0,0,0,0,8,0,0,1,1,2,4,"['Traffic Control Disregarded' 'Failure to Yield Right-of-Way'
 'Unspecified']"
3848714,2018-02-17 14:30:00,MANHATTAN,10019,,,,,450       W 57th St,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
4263561,2019-12-04 15:30:00,STATEN ISLAND,10309,,,,,715       sharrotts rd,0,0,0,0,0,0,0,0,0,0,1,0,1,['Unspecified']
3749038,2017-09-12 17:59:00,,,,,PARK ROW,,,0,0,0,0,0,0,0,0,0,0,1,0,1,['Driver Inexperience']
3668217,2017-05-07 15:00:00,,,,,CENTER BOULEVARD,,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Unspecified']
3651370,2017-04-15 09:00:00,QUEENS,11422,40.659714,-73.739815,145 AVENUE,243 STREET,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction' 'Unspecified']
3663264,2017-05-02 07:36:00,,,40.86507,-73.87185,BRONX RIVER PARKWAY,,,2,0,0,0,0,0,2,0,0,2,0,3,5,['Unsafe Speed' 'Unspecified']
3661629,2017-05-01 11:00:00,STATEN ISLAND,10312,40.558887,-74.1977,ARDEN AVENUE,ARTHUR KILL ROAD,,1,0,1,0,0,0,0,0,0,1,0,0,1,['Failure to Yield Right-of-Way']
3666151,2017-05-08 14:03:00,BROOKLYN,11233,40.678894,-73.90347,TRUXTON STREET,VAN SIDERIN AVENUE,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction' 'Unspecified']
3657462,2017-04-25 19:00:00,QUEENS,11417,40.676373,-73.84701,90 STREET,SUTTER AVENUE,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Passing or Lane Usage Improper' 'Unspecified']
3664073,2017-05-05 12:30:00,,,40.84487,-73.92068,CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Following Too Closely' 'Unspecified']
3659410,2017-04-29 03:30:00,QUEENS,11691,40.599243,-73.752495,BEACH 19 STREET,BROOKHAVEN AVENUE,,0,0,0,0,0,0,0,0,0,3,0,0,3,['Unspecified']
3651871,2017-04-16 11:25:00,,,40.8047,-73.83141,BRONX WHITESTONE BRIDGE,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Unsafe Lane Changing' 'Unspecified']
3658008,2017-04-25 19:30:00,,,,,THROGS NECK EXPRESSWAY,HARDING AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Failure to Yield Right-of-Way' 'Unspecified']
3658139,2017-04-26 15:00:00,QUEENS,11358,40.763287,-73.80358,,,35-75     162 STREET,1,0,0,0,0,0,1,0,0,0,0,2,2,['Unsafe Lane Changing' 'Backing Unsafely']
3667096,2017-05-06 06:20:00,BROOKLYN,11203,40.651733,-73.93039,UTICA AVENUE,CHURCH AVENUE,,1,0,1,0,0,0,0,0,0,0,0,0,0,['Failure to Yield Right-of-Way']
3655211,2017-04-20 23:00:00,MANHATTAN,10013,40.71755,-73.99932,CANAL STREET,BAXTER STREET,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Driver Inattention/Distraction']
3652580,2017-04-14 10:05:00,,,40.740944,-74.00537,WEST 14 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,0,0,1,1,2,['Passing or Lane Usage Improper' 'Unspecified']
3661812,2017-05-01 21:20:00,BROOKLYN,11226,40.637222,-73.9598,EAST 19 STREET,NEWKIRK AVENUE,,1,0,1,0,0,0,0,0,0,1,0,0,1,['Driver Inattention/Distraction']
3654053,2017-04-19 10:58:00,,,40.736668,-73.997345,WEST 13 STREET,,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Backing Unsafely' 'Unspecified']
3663179,2017-05-04 19:15:00,STATEN ISLAND,10301,40.631973,-74.08769,,,95        SHERMAN AVENUE,0,0,0,0,0,0,0,0,1,0,0,1,2,['Driver Inattention/Distraction' 'Unspecified']
3655845,2017-04-23 12:30:00,BROOKLYN,11233,40.677616,-73.92829,,,38        HUNTERFLY PLACE,0,0,0,0,0,0,0,0,0,1,0,1,2,['Driver Inattention/Distraction']
3662934,2017-05-03 10:00:00,MANHATTAN,10002,40.7224,-73.99165,CHRYSTIE STREET,STANTON STREET,,1,0,0,0,1,0,0,0,1,1,0,0,2,['Obstruction/Debris' 'Unspecified']
3652240,2017-04-15 21:50:00,,,40.726986,-73.985756,1 AVENUE,,,0,0,0,0,0,0,0,0,0,0,0,1,1,['Driver Inattention/Distraction']
4024284,2017-05-07 12:55:00,MANHATTAN,10038,40.710144,-74.002556,,,66        FRANKFORT STREET,0,0,0,0,0,0,0,0,0,1,0,0,1,['Driver Inexperience']
3658720,2017-04-27 17:30:00,BRONX,10461,40.843212,-73.83894,WATERS PLACE,FINK AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Turning Improperly' 'Unspecified']
3651640,2017-04-14 17:20:00,BROOKLYN,11214,40.603283,-74.00321,,,8733      19 AVENUE,1,0,0,0,1,0,0,0,1,0,0,1,2,['Pedestrian/Bicyclist/Other Pedestrian Error/Confusion' 'Unspecified']
3671373,2017-05-07 00:00:00,,,40.63874,-73.8952,ROCKAWAY PARKWAY,,,0,0,0,0,0,0,0,0,0,0,0,2,2,['Failure to Yield Right-of-Way' 'Unspecified']
3662749,2017-05-03 10:20:00,STATEN ISLAND,10301,40.637993,-74.07929,,,76        VICTORY BOULEVARD,0,0,0,0,0,0,0,0,0,0,1,1,2,['Unspecified']
4238650,2019-11-08 11:00:00,,,,,QUEENSBORO BRIDGE UPPER ROADWAY,,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Following Too Closely' 'Unspecified']
3664829,2017-05-06 20:00:00,MANHATTAN,10033,40.84554,-73.93278,WEST 177 STREET,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3658071,2017-04-26 10:00:00,BROOKLYN,11206,40.702724,-73.95002,HARRISON AVENUE,LORIMER STREET,,0,0,0,0,0,0,0,0,0,0,1,1,2,['Following Too Closely' 'Turning Improperly']
3654715,2017-04-16 22:00:00,BROOKLYN,11221,40.6889,-73.92726,PATCHEN AVENUE,GATES AVENUE,,1,0,0,0,1,0,0,0,1,1,0,0,2,['Driver Inattention/Distraction']
3658084,2017-04-26 03:36:00,BRONX,10467,40.866047,-73.87207,SOUTHERN BOULEVARD,BRONX RIVER PARKWAY,,0,0,0,0,0,0,0,0,0,1,0,0,1,['Unspecified']
3671110,2017-05-09 09:00:00,MANHATTAN,10011,40.738552,-73.99969,WEST 14 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,0,1,1,0,2,['Driver Inattention/Distraction']
3660357,2017-04-29 08:40:00,,,,,veterans road west,bricktown way,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Following Too Closely' 'Unspecified']
3651344,2017-04-15 15:45:00,,,40.67175,-73.89685,PITKIN AVENUE,,,2,0,0,0,0,0,2,0,0,0,0,2,2,['Driver Inattention/Distraction' 'Unspecified']
3658256,2017-04-27 09:40:00,MANHATTAN,10017,40.74917,-73.97034,,,45        TUDOR CITY PLACE,0,0,0,0,0,0,0,0,0,2,0,0,2,['Driver Inattention/Distraction']
3663664,2017-05-03 18:03:00,BRONX,10463,40.876503,-73.904564,WEST 230 STREET,MAJOR DEEGAN EXPRESSWAY,,0,0,0,0,0,0,0,0,0,2,0,0,2,['Unspecified']
3659513,2017-04-28 16:30:00,,,40.666416,-73.80631,BELT PARKWAY,,,0,0,0,0,0,0,0,0,0,1,0,1,2,['Following Too Closely' 'Unspecified']
3654813,2017-04-20 21:17:00,,,40.71741,-73.984,DELANCEY STREET,,,0,0,0,0,0,0,0,0,0,3,0,0,3,['Failure to Yield Right-of-Way' 'Unspecified']
3662686,2017-05-03 16:12:00,QUEENS,11355,40.752903,-73.832565,,,44-39     COLLEGE POINT BOULEVARD,0,0,0,0,0,0,0,0,0,1,0,1,2,['Backing Unsafely' 'Unspecified']
3663872,2017-05-04 22:30:00,BROOKLYN,11223,40.598034,-73.97976,,,2011      WEST 8 STREET,0,0,0,0,0,0,0,0,0,0,0,1,1,['Backing Unsafely' 'Unspecified']
