tree_id,created_at,block_id,tree_dbh,stump_diam,is_OnCurb,health,spc_common,steward,guards,sidewalk_damaged,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,latitude,longitude,is_dead,is_stump
180683,2015-08-27,348711,3,0,1,1.0,red maple,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,108-005 70 AVENUE,11375,Forest Hills,406,4,Queens,29,28,16,QN17,Forest Hills,4073900,40.723091773924274,-73.84421521958048,0,0
200540,2015-09-03,315986,21,0,1,1.0,pin oak,0.0,None,1.0,TreesCount Staff,Stones,1,0,0,0,0,0,0,0,0,147-074 7 AVENUE,11357,Whitestone,407,4,Queens,19,27,11,QN49,Whitestone,4097300,40.79411066708779,-73.81867945834878,0,0
204026,2015-09-05,218365,3,0,1,2.0,honeylocust,1.0,None,1.0,Volunteer,None,0,0,0,0,0,0,0,0,0,390 MORGAN AVENUE,11211,Brooklyn,301,3,Brooklyn,34,50,18,BK90,East Williamsburg,3044900,40.717580740099116,-73.93660770459083,0,0
204337,2015-09-05,217969,10,0,1,2.0,honeylocust,0.0,None,1.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,1027 GRAND STREET,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK90,East Williamsburg,3044900,40.713537494833226,-73.93445615919741,0,0
189565,2015-08-30,223043,21,0,1,2.0,American linden,0.0,None,1.0,Volunteer,Stones,1,0,0,0,0,0,0,0,0,603 6 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,Park Slope-Gowanus,3016500,40.66677775537875,-73.97597938483258,0,0
190422,2015-08-30,106099,11,0,1,2.0,honeylocust,1.0,Helpful,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,8 COLUMBUS AVENUE,10023,New York,107,1,Manhattan,3,67,27,MN14,Lincoln Square,1014500,40.770045625891846,-73.98494997200308,0,0
190426,2015-08-30,106099,11,0,1,2.0,honeylocust,1.0,Helpful,0.0,Volunteer,None,0,0,0,0,0,0,0,0,0,120 WEST 60 STREET,10023,New York,107,1,Manhattan,3,67,27,MN14,Lincoln Square,1014500,40.77020969000546,-73.98533807200513,0,0
208649,2015-09-07,103940,9,0,1,2.0,American linden,0.0,None,0.0,Volunteer,MetalGrates,0,1,0,0,0,0,0,0,0,311 WEST 50 STREET,10019,New York,104,1,Manhattan,3,75,27,MN15,Clinton,1012700,40.7627238542921,-73.98729652382876,0,0
209610,2015-09-08,407443,6,0,1,2.0,honeylocust,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,65 JEROME AVENUE,10305,Staten Island,502,5,Staten Island,50,64,23,SI14,Grasmere-Arrochar-Ft. Wadsworth,5006400,40.596579313729144,-74.07625483097186,0,0
192755,2015-08-31,207508,21,0,0,1.0,London planetree,0.0,None,0.0,TreesCount Staff,None,0,0,0,0,0,0,0,0,0,638 AVENUE Z,11223,Brooklyn,313,3,Brooklyn,47,45,23,BK26,Gravesend,3037402,40.58635724735751,-73.96974394191379,0,0
