crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2017-04-18T00:00:00.000,23:10,STATEN ISLAND,10312,40.5367280,-74.1933440,"(40.536728, -74.193344)",,,243       DARLINGTON AVENUE             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3654181,Station Wagon/Sport Utility Vehicle,,,,
2017-05-06T00:00:00.000,13:00,BRONX,10472,40.8290520,-73.8503800,"(40.829052, -73.85038)",CASTLE HILL AVENUE              ,BLACKROCK AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3665311,Sedan,,,,
2017-04-27T00:00:00.000,17:15,QUEENS,11420,40.6773030,-73.8045650,"(40.677303, -73.804565)",135 STREET                      ,FOCH BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3658491,Sedan,Sedan,,,
2017-05-09T00:00:00.000,20:10,,,40.6249580,-74.1457750,"(40.624958, -74.145775)",FOREST AVENUE                   ,RICHMOND AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3666554,Motorcycle,Sedan,Bus,,
2017-04-18T00:00:00.000,14:00,BRONX,10456,40.8288460,-73.9031200,"(40.828846, -73.90312)",,,1167      BOSTON ROAD                   ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3653269,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-08T00:00:00.000,10:33,,,40.5564540,-74.2077700,"(40.556454, -74.20777)",WEST SHORE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3666365,Sedan,Sedan,,,
2017-05-10T00:00:00.000,6:10,,,40.7400250,-73.9762600,"(40.740025, -73.97626)",1 AVENUE                        ,EAST 28 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3666842,Taxi,Box Truck,,,
2017-04-24T00:00:00.000,9:30,BROOKLYN,11203,40.6516460,-73.9323300,"(40.651646, -73.93233)",EAST 48 STREET                  ,CHURCH AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3657123,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-14T00:00:00.000,13:00,,,40.7518000,-73.8173140,"(40.7518, -73.817314)",ROBINSON STREET                 ,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3651039,Sedan,Station Wagon/Sport Utility Vehicle,,,
2017-05-02T00:00:00.000,1:00,BRONX,10474,40.8168640,-73.8827440,"(40.816864, -73.882744)",,,772       EDGEWATER ROAD                ,0,0,0,0,0,0,0,0,Unspecified,,,,,3661896,Pick-up Truck,,,,
2017-05-01T00:00:00.000,14:30,STATEN ISLAND,10301,40.6396140,-74.0872700,"(40.639614, -74.08727)",,,361       JERSEY STREET                 ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3661330,Station Wagon/Sport Utility Vehicle,PAS,,,
2017-04-29T00:00:00.000,8:45,,,40.7142300,-73.8538600,"(40.71423, -73.85386)",LOUBET STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3659418,Sedan,,,,
2017-05-01T00:00:00.000,10:30,BROOKLYN,11223,40.6027570,-73.9637700,"(40.602757, -73.96377)",,,802       AVENUE S                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3661943,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
2017-04-16T00:00:00.000,15:50,BROOKLYN,11203,40.6529730,-73.9440100,"(40.652973, -73.94401)",BROOKLYN AVENUE                 ,LINDEN BOULEVARD,,3,0,0,0,0,0,3,0,Unspecified,Unspecified,,,,3654121,Station Wagon/Sport Utility Vehicle,Sedan,,,
2017-04-25T00:00:00.000,18:00,BROOKLYN,11234,40.6107400,-73.9224100,"(40.61074, -73.92241)",,,2074      EAST 52 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3673696,Station Wagon/Sport Utility Vehicle,,,,
2017-04-22T00:00:00.000,7:00,,,40.6916800,-73.9993440,"(40.69168, -73.999344)",BROOKLYN QUEENS EXPRESSWAY      ,,,1,0,0,0,0,0,1,0,Unspecified,,,,,3655451,Pick-up Truck,,,,
2017-04-20T00:00:00.000,18:00,BRONX,10463,40.8865360,-73.8998500,"(40.886536, -73.89985)",WEST 240 STREET                 ,BROADWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,3654545,Station Wagon/Sport Utility Vehicle,,,,
2017-05-06T00:00:00.000,14:10,QUEENS,11419,40.6862340,-73.8241800,"(40.686234, -73.82418)",LEFFERTS BOULEVARD              ,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3665559,Station Wagon/Sport Utility Vehicle,Sedan,,,
